-6.1585,-0.041818,0.32091
-5.3049,-0.037273,0.33636
-4.8171,-0.042727,0.33364
-3.5366,-0.038182,0.34455
-1.7073,-0.044545,0.33455
0.18293,-0.041818,0.33455
1.8293,-0.033636,0.32364
3.5976,-0.031818,0.32
4.6951,-0.044545,0.32727
4.8171,-0.038182,0.31818
3.1707,-0.035455,0.32
3.0488,-0.040909,0.31545
2.9268,-0.042727,0.32091
2.622,-0.035455,0.34273
2.561,-0.026364,0.34636
2.0732,-0.041818,0.32182
2.3171,-0.033636,0.34091
2.439,-0.04,0.32091
2.0732,-0.030909,0.33545
1.5854,-0.033636,0.33273
1.3415,-0.033636,0.33818
0.91463,-0.040909,0.32091
0.54878,-0.037273,0.33727
0.42683,-0.038182,0.33455
-0.91463,-0.037273,0.32364
-1.3415,-0.037273,0.32909
-1.1585,-0.039091,0.33182
-0.36585,-0.031818,0.32545
-0.73171,-0.033636,0.34091
0.42683,-0.042727,0.32727
0.67073,-0.030909,0.33
0.97561,-0.034545,0.32091
1.5244,-0.037273,0.32091
0.97561,-0.04,0.32273
0.060976,-0.035455,0.34091
0.060976,-0.028182,0.34273
0.36585,-0.039091,0.31909
0.97561,-0.034545,0.33727
1.2195,-0.030909,0.33727
1.5854,-0.030909,0.33545
1.7073,-0.03,0.33364
1.8293,-0.029091,0.33909
1.4024,-0.038182,0.32
0.67073,-0.037273,0.32182
0.4878,-0.04,0.33545
0.30488,-0.037273,0.32636
-0.060976,-0.030909,0.32818
-0.12195,-0.037273,0.33636
0.060976,-0.037273,0.33455
-0.12195,-0.029091,0.32364
0.12195,-0.021818,0.33364
-0.4878,-0.038182,0.32818
-0.60976,-0.03,0.32182
-0.2439,-0.037273,0.32182
-0.060976,-0.031818,0.34091
0.12195,-0.035455,0.33091
0.36585,-0.033636,0.34545
0.42683,-0.037273,0.32182
0.18293,-0.028182,0.34364
-0.12195,-0.03,0.33727
-0.42683,-0.027273,0.36182
-0.060976,-0.032727,0.32
-0.12195,-0.032727,0.33727
0.42683,-0.037273,0.32091
0.60976,-0.039091,0.32
0.60976,-0.032727,0.33091
0.67073,-0.030909,0.34909
0.42683,-0.037273,0.32
0.42683,-0.035455,0.33727
0.30488,-0.038182,0.33273
0.60976,-0.03,0.34818
0.79268,-0.04,0.33273
0.97561,-0.038182,0.33636
0.42683,-0.024545,0.32545
0.4878,-0.031818,0.32273
0.2439,-0.038182,0.32545
0,-0.028182,0.32909
-0.42683,-0.035455,0.32455
-0.67073,-0.04,0.32091
-0.4878,-0.039091,0.32
-0.2439,-0.034545,0.34273
0.36585,-0.026364,0.34364
0.36585,-0.039091,0.32364
0.4878,-0.032727,0.34273
0.30488,-0.035455,0.31818
0.4878,-0.036364,0.32364
0.4878,-0.033636,0.33091
0.4878,-0.029091,0.33
-0.12195,-0.037273,0.32273
-0.12195,-0.033636,0.33909
-0.30488,-0.037273,0.33273
-0.12195,-0.03,0.34909
0,-0.037273,0.33
0.060976,-0.028182,0.33818
0.18293,-0.030909,0.32909
0.18293,-0.03,0.33909
0.36585,-0.039091,0.33182
0.060976,-0.019091,0.33364
-0.18293,-0.032727,0.32182
0.12195,-0.037273,0.31909
0.12195,-0.035455,0.31727
-0.18293,-0.035455,0.32727
-0.2439,-0.03,0.32091
0.18293,-0.038182,0.32091
0.36585,-0.03,0.34273
0.30488,-0.029091,0.33909
0.42683,-0.037273,0.32182
0.42683,-0.030909,0.33636
0.36585,-0.030909,0.33455
0.2439,-0.034545,0.32273
0.2439,-0.037273,0.32091
0.36585,-0.033636,0.32727
0.54878,-0.028182,0.34545
0.60976,-0.039091,0.32273
